text,label
Waiting for the set with Bumble Bee and Sam figure. Have a little Shia in a little Bumble Bee. ,4
@<user> there is never a pot of gold at the end on a rainbow though!   stupid lepercans...their probaly not even real. HAHA,0
@<user> I'm wearing a gray shirt ,0
Life sucks if ur not having fun. ,0
My house is so so so COLD! I hate winter at the moment ,0
"@<user> Cool, I love cold places  I tried Craiglist but it seems that ppl is expecting to rent out rooms for more than one month",4
Corner Gas will live on in re-runs ,4
"well, for one because it rains ",0
she's freaking out -.- i dont know what to do with my pictureee ,0
"k so i went 2 sleep at 5, always know ur coffee tolerance or u'll b too hypper 2 sleep early ",0
In bed already....what is my life coming to its not even 11 yet ,0
Listening to my dog cry... we don't know why he does it... its sad. ,0
@<user> whoa. i'd be sad. ,0
"Having lime slurpee, LOL reminds me of liam ",4
still alive n kicking in troyes. no internet connection from hostel  hands freezin from the wind out here in an open area with connection,0
back in action this morning. check out the &quot;Tipping Point&quot; workshop.  #breadgather,4
rt @<user>  German Pob http://post.ly/ho9  ,4
#followfriday ! @<user> @<user> @<user> @<user> @<user> because they make me happy when skys are grey. ,4
"Also, I got into work an hour earlier than I should have.  And no, I will not be leaving an hour early. ",0
OMG OMG! YESS!! OH BLESS THE SOULS TO THE MEN WHO INVENTED GAMES  FINALLY MY GAME WILL ARRIVE TOMORROW!  SO EXCITED,4
ahhh good morning :/ i hv alot to do b4 rk and plus studying !!!  uhh,0
If not for @<user> keeping the music going  my twitter stream would be empty. Where is everybody tonight?,4
@<user> awwww  come with me I have no one here....,0
working on getting a head shot for the new @<user> movie!!! ,4
"Wow, I am completely depressed from a  book   But dinner with a friend will make me happy again  #fb",0
@<user> Yep still a few seats left for PRACC workshop w/ @<user> &amp; @<user> http://bit.ly/txpA6  see you there ,4
had the first and probably last G&amp;T last night  BBQ beef super noodles for breakfast  mmmmm!,0
"isnt having the best day  only few hours of sleep, fell twice at work and now just split water on my pants",0
@<user> stupid cash grabs!  Every company finds a way ,0
@<user> and i loveee taylor so joejonas can suuuuck it! haha but your page is cuteee ,4
"@<user> :s No. I turn on my lappy as usual, but the screen has no display. That's all. ",0
"http://twitpic.com/5oixm - ?????? ????????, ???????? ??????????? ????, ???????? ?????  #followfoto",4
"@<user> Yes, yes, you should ",4
is going to spend this beautiful day God has made with my family ,4
@<user> omfg fuzzy!!!!  RIP lmfao&lt;333333333333333 sure 4 sounds goood,0
Online finding just the right key ,4
@<user> I don't hate U ,4
"back home in Joliet, finally unpacked all of the shit i accumulated over the past 4 years...work starts tomorrow ",0
@<user> Goodnight Kelly!! ,4
@<user> Oh okay then. Yeah call her ,4
@<user> Yuuuuppp ,4
"@<user> i'm gonna try and go to the london one, even though they're not gonna be there  but cant wait till the album comes out!! x",0
Just ran into my friend &amp; his new baby-happy for him &amp; his wife-but it makes me sad ,0
@<user> I wish I could think of a good resolution for you besides a feed reader ,0
@<user> what's that app? ,4
"@<user> Ooh, I keep meaning to check out battledecks! It sounds like something I want to do! Me=GamingGeek.  #pres4lib",4
"is not going to work tomo. I have almost overdosed on Lemsip, my head feels like it wants to implode and it hurts to breathe. ",0
"Then I dreampt that I was at Cool Crest in the arcade, and some chick ran off with all of my money. ",0
feels like crying! No hope for Cavs.  http://plurk.com/p/xasz4,0
about to board my second flight today  so tired,0
"@<user> ah i see, u must be tired! i hope u can wake up early tomorrow! cant w8 2 c what happens! its 5pm over here ",4
"@<user> not yet, HD videos take ages  x",0
mew in bandung delayed till november ,0
@<user> ooooo you may enjoy it. ,4
@<user> ha ha lmaoooooooooo thatz my song tho ,0
@<user> can you please pick another handle ,0
"going to bed, goodnight twitterland! ",4
@<user> ohhh I thought a day. Tapi best gak kan kalau earn that much a day ,4
@<user> can't see it ,0
would very much like to be at Glasto ,0
@<user>  Thanks so much for the #FollowFriday love! Really appreciate it! ,4
Hi @<user> just watched the hills finale. So sad ur gone. The hills wont be the same without you ,0
@<user> ,4
"got high with my lil bro last night so funny, didnt really have enough weed though  Just woke up, jacked off and seriously want a cig...",0
"YAY i have ashley tisdale's new album! favourites are.. acting out, masquerade, me without you &amp; CRANK IT UP ",4
resetting my iphone in order to make my new jawbone bluetooth device work. ,0
went and deleted a ton of DMs...... made me sad  i miss some people,0
not feeling too bright today ,0
Tweet tweet! Nisha's not going to school tomorrow ,0
wants her boyfriend ,0
@<user> you know you're gonna end up just buying mine. I'm keeping it pretty for you. Plays and sounds oh so nice... ,4
I am about to UnFollow someone on here... due to LAME  activity/Tweetz   sorry  stepp it up,0
Tooooo tired for this  Work at 3. I hope I don't screw it up tonight!,0
@<user> sadly it was a fake... ,0
@<user> Yeah it's not gonna let me back in.. I'm still watching though. Hopefully I can still go next time..  Love you though,0
"@<user> Yep, Yep! I have to work tomorrow... my back is still killin me ",0
@<user> yea. Tila does it just to get more fans I think - guy fans. Bogus. Be open with your sexuality &amp; not fake to get attention. ,0
so tweeps - someone tell me about last night's Club d'Elf show - the poor Vermonter really misses her favorite band! ,0
talking to @<user> ...can't wait to hear the track david and @<user> Recorded ,4
Is home safe and sick  I'm beggining to hate flying! Have to get up early tomorrow to set up for a cad wash and a wedding! Yay Me!,0
"watchin batman begins, and maybe the next 1 after,as i aint seen 2nd one yet! ",0
@<user> thank yooou ,4
Heading out to the golf course for my first game of golf EVER ,4
Wish i was at home with the hubby today. ,0
@<user> i know!  .. i tried doing it just before and my stupid internet froze on me ,0
"At last, I have watched Angels and Demons in theatre! It's still awesome and stunning as far as the story and the acting were concerned. ",4
"now on reverb nation, check it out and become a fan!!  www.reverbnation.com/tamaratews",4
Sims 3 and tweetdeck crash. A lot. Unplayable and almost unusable. ,0
@<user> I wasn't able to get a ride in time  I was all the way in La Cresenta. boooooo on my part ,0
is just updating  more on fb. &amp;&amp; studies. haha  http://plurk.com/p/112cq4,4
Discussing* ,0
"aw, my familys back now ",0
@<user> Can you invite me to use meme with you? I am from Brazil  thanks a lot,4
Has a headache ,0
@<user> nick takes more time than I do to get ready :p I've got an appointment booked on sat now so I can survive when I retire ,0
"one of the reasons why i like school is that i dont have to see my mom. now its half day, i see her. damn ",0
T3 on the tv but think i'll get ready for bed. Early to bed early to rise you know the rest. have a good one.          ,4
sister is here.. i wish i could take her &lt;3 break away   hangin around town,0
Got a 90 On my test ,4
GAH! I can't think of a title for the story I'm working on!  N I wanna post the first part.,0
"@<user> Guess what, I went to the shops today &amp; got some CADBURY drinking chocolate. &amp; its got Caramel in it! ",4
Woot!  Gearing up for the all-school picnic at prac today.  Going to be hard saying goodbye to everyone soon.  ,0
I need to stitch name tags into all my clothes tonight. FUUUNNNNN. Finale of The Apprentice is on to compensate though ,4
@<user> I'd love it more than words can say ,4
I just ate some McDonalds and now I feel sick ,0
"@<user> helloo i am feeling , i feel really dizzy  i wish i hadnt had it done now, i can't eat it hurts too much and its alrightxx",0
grounded. ,0
may be on her way to VA on the 15th....keep your fingers crossed ,4
Twitter put me on timeout last night for tweeting too much  So I have to try to pace myself today.,0
"Ugh, i think taking my allergy meds made it worse. Fuck this, i feel like i have a friggin cold ",0
"Thoughts and preys go outs to thoses who lost love ones on the Air France jet, and to Swine Flu  (Such sad Times these days)",0
My bape keychain fell off grrrrr ,0
ahhhh my foots asleep ,0
@<user> Check COQUI Applications for IPhone y IPod Touch ,4
"@<user> Egypt is for us rather close destination, something like Queensland for you ",4
"Managed to catch snippets of Tim Minchin on Radio 1 this morning, had to go and do treatment  Yay for Iplayer when I get home though.",0
time for my second double espresso!! ,4
"@<user> - 24 is a fabulous age! Not too early, not too late... ",4
I don't feel good and im working ,0
Free Iran! R.I.P. Neda! My Sister  - Ù Ø®Ø¯Ø§ÙÙØ¯ Ø¨Ø²Ø±Ú¯ØªØ±ÛÙ Ø§Ø³Øª. ÙØ¯Ø§ Ø¢ÙØ§ Ø³ÙØ·Ø§Ù,0
working   I need to find a new job...,0
@<user> watch out for that Al Roker.  He's mean.  ,4
"Hey, Mr. Benny, have you seen any horses today? (What do you mean?) I heard you &amp; Nina went for a roll in the hay! HEY! ",4
"@<user> haha, i had to really train myself not to do it been letting them grow for the last 2-3years but i was just nibbling ",0
Jst Woke Up . . Bored Home  ------ FREE My Fathe PEDIE ; Fxck Dummies ;,4
Going to bed!!! feeling so blah ,0
@<user> naughty little girl ,4
"My boobs have ballooned, and my hips have as well...  I don't know how this is so, I seem to be growing.  My waist is the same tho, wtf!! ",0
@<user> actually don't remember what I had called fishy...  never mind..  where you have been btw?,4
same co-worker who left me coffee also left me a stack of docs the size of 4 yellow pages books. nothin is free ,0
yess!!! it's gonna be a huge day  @ bathroom,4
@<user> Did I do something wrong to prompt this mega indentation? I can't see my folders.  http://twitpic.com/6ei0k,0
"@<user> enjoy rain on Trent. Wish i could be there in jj's later, but i only came back yesterday and no one told me ",0
Yay. Getting on the plane.  Its about time!,4
Good morning!! Its too early  6.10 am here and I have work soon.Too too early ,0
"One more day with my mom! Such a good trip, wish she didnt have to leave tomorrow ",0
@<user> I am lost. Please help me find a good home. ,0
Finally...REAL food... ,4
Me + cara totally rocked out that cinema + even gave a bow after the film. FYI we were the only 1's singin + dancing lol ,4
oh look...it's nice outside finally...and i have to go to work. ,0
is trying to get the hang of twitter! think ive got it though ,4
@<user> Page isn't really done yet but yeah. Wanting to delete the old one already. ,4
 my dumb asthma won't go away...,0
@<user> I wish you good hunting and shooting!!! Look forward to seeing the results later - have fun!!! ,4
My Mom didn't answer the phone   I guess sheï¿½s at Mass.,0
@<user> u do point us in the right direction defently ,4
"Of course if you are interesting, have a reasonable link to info to amusement ratio...  Hello! I like you ",4
Since Late march i set a goal to lose the extra weight and tone back up!. No diets. No pills. Just running ALOT. So far ive lost 14 pnds ,4
@<user> i love ur videos! and aww ur bf is so nice haha ,4
http://twitpic.com/6s42a - @<user> Saw this in the Janesville gazette. Any relation to him? ,4
Wishing I could make my poor fiance feel better! He's been throwing up all morning. ,0
@<user> Ticketmaster is gouging fans at $215 just to get lower pavilion and moshpit. So much for affordable tickets.  ,0
Follow @<user> Just do it. No reason needed. ,4
Nooooooooooooooooooooo. I have to work today. And for the rest of forever. ,0
@<user> ouch .. that means that next week i wont be able to tweet??? ,0
@<user> Happy Birthday ,4
@<user> I love Gossip Girl! But I haven't seen any of Series 2 yet ,0
is home thankfully! and in desperate need of a good neck/back massage! im uber sore! ,0
@<user> Heeh. We're going to Berlin 9th-28th of July ,4
@<user> i really need to reply to your email  that was so amazing! &lt;3,4
I couldnt believe this is the last day  i wanna spend more time here with my friends!,0
"@<user> haha, it's okay to be different! ",4
"It's such a nice day, why waste it on school? I'd rather spend it in the garden ",4
After the breakfast you can go to your web-mails and I sent you a very funny and MAGIC website ,4
@<user> LOL ,0
"ahhh, another chance. thursday. 3pm. ",4
sun out guess what i gotta go work ,0
@<user> I think we a craft addicts!  but it's all good!,4
"@<user> I totally forgot to mention mouth guard, but I totally wouldn't have forgotten one! lol!   Maybe I'll pick that up today! ",4
@<user>  getting ready for that Summer Jam 2morrow !!!!! ,4
I need some money! my phone is going 2 run out 2maro ,0
@<user> I am lost. Please help me find a good home. ,0
"@<user> i'm sorry dude, they're coated in beeswax ",0
"@<user> I don't think they're up anywhere at the moment, but we can always send you them if you wanted ",4
"Good nite Vanessa, im going to bed now ",4
Wants a banana caramel tart but cbfd walking to the cafeteria  helllppppp meeee,0
@<user> OMG!! can't wait for your album! I hope it comes out here in Mexico...Mitchel mUsso's not in sale here  ,0
"@<user> Here are some that other tweeple recommend to me: www.audiomicro.com , http://tr.im/gWOy , http://tr.im/gWPx ",4
is really freaking out about tomorrow. physics and history on the same day :S two exams is hard let alone the 2 hardest subjects I do. ,0
@<user> yes it went down smooth! Too bad I have to get back to work though  how are you enjoying your Friday?,0
i  hate staying alone ,0
@<user> I think so. I like that. How old school! ,4
Except For My Mom iWill c Her Soon ,0
@<user> well yes but it is a weekly party here in seattle  it was a little boring but twas good to spend time with my friends i miss,4
"Hoping to finish writing track tonight, if I get time, after a nice bath. I'll be in studio until late ",4
Sweet! I finally figured out Twitter from my phone  Woot!,4
"6am arrives oh too quickly. Trying to motivate myself to get out of bed and in the shower. Thus far, all attempts have been unsuccessful. ",0
@<user> i want to be with you ,0
Waiting for Alchie to visit this weekend ,4
http://bit.ly/iyWQD   i think i want luna... ,4
@<user> I wish there was WHAM! today.  #georgemichael,0
why do my followers keep ditching me? am i that boring? im sad now. ,0
#musicmonday Tommy February - &quot;Lonely in Gorgeous&quot; I missed that song. ,4
"Is enjoying a beach day with the Stowell, Bottoms, Cospito clan!!!!   ",4
Such a great day downtown ,4
"@<user> Bubble Wrap, Lonely, No Worries, I've Got You, Too Close For Comfort.. ALL OF `EM! I LOVE MCFLY! LOL ",4
@<user> 'Friendly' and 'Carphone Warehouse'?  Haha.  Good one ,4
@<user> u're using Twitter full-time now ,4
@<user> Very Cool! ,4
Hemmingways is fun  friends are always a treat ,4
more aweful homework  and school tomoz aaaargh,0
thats not a very nice thing to say  .. ,0
Having breakfast at Cafe Bellagio...our last meal in Vegas ,0
Ahhhh. Have i said yet how much i love summer? Now we just need the weather to ACT like its summer  http://twitter.com/nattles91/statu ...,4
i just bought 'knocked up' dvd on amazon.jp haha ,4
I need a less stressing and less frustrating job. ,0
@<user> ? I though I was following you before... Damn computers...  Oh well. Am now. ,0
@<user> Here's the one I whistle at work when I'm pissed  http://blip.fm/profile/gamerwoman3d/blip/11851433,4
mannnnnnnnn.. its paining tooooooooooo0000000000 much... ,0
@<user>  hellooo!!   how are you ,4
Everyone! Update slower for monkie! ,4
http://twitpic.com/6stx3 - Live Multiview! Just need all viewers to have several computers and lots of bandwidth ,4
@<user> So sorry to hear that  Great that you're back on and surfing now,0
is looking forward to this my day off and doing assorted wonderfulness aka shopping ,4
@<user> Professional WHAT? ,4
@<user> http://twitpic.com/7iu7b - thats a really cute picture ,4
stuck at home without a car today ,0
"@<user> * that was supposed to say: ecstasy LOL My only excuse...coffee, need me some to wake up ",4
Watched 'The boy in the striped pj's' the other day too..one of the best films I've ever seen. ,4
@<user> im all about my champagne. i am on glass 4 ,4
@<user> haha yup I'm very proud of myself ,4
"@<user> I'm really looking forward to watching the TGS Summer  special tonight, looks like you had fun in Jersey ",4
@<user> Thank you ,4
@<user> he says hey! ,4
"has a sore throat and a major cough, Think I may be dying ",0
"garden and sun. and work, of course ",4
